Time,BS_ID,BS_LOC_X,BS_LOC_Y,ANT_ID,ANT_SEC,TRX_ID,TRX_X,TRX_Y,TRX_ANG,UE_ID,UE_LOC_X,UE_LOC_Y,MAX_DR,DEMAND_DR,REAL_DR,BS_Tran_SNR,UE_Rec_SNR
1,0,0,0,2,240,93,0.190043,-0.398396,0,36,-4.16198,-0.795209,118,35,35,1.17589e-14,3.52768e-14
1,0,0,0,2,240,92,-0.440043,-0.0346164,0,37,-3.49548,-0.176855,130,49,49,1.94777e-14,5.84332e-14
1,0,0,0,2,240,91,0.18334,-0.394526,0,38,-4.0996,-1.8262,115,12,12,1.01976e-14,3.05927e-14
1,0,0,0,2,240,90,-0.43334,-0.0384864,0,39,-1.45102,-3.1342,131,37,37,2.01974e-14,6.05921e-14
1,0,0,0,2,240,89,0.176637,-0.390656,0,40,-0.507154,-1.08756,160,130,130,2.06995e-13,6.20984e-13
1,0,0,0,2,240,88,-0.426637,-0.0423564,0,41,-0.137775,-2.34668,152,117,117,5.72246e-14,1.71674e-13
1,0,0,0,2,240,87,0.169934,-0.386786,0,42,-2.29554,-1.04275,147,15,15,4.77114e-14,1.43134e-13
1,0,0,0,2,240,86,-0.419934,-0.0462264,0,43,0.0786526,-1.19742,160,110,110,2.06995e-13,6.20984e-13
1,0,0,0,2,240,85,0.163231,-0.382916,0,44,0.219027,-4.21558,119,1,1,1.18718e-14,3.56155e-14
1,1,8.66025,5,0,0,99,8.91025,5.387,0,45,11.3522,5.20659,144,33,33,3.97355e-14,1.19207e-13
1,1,8.66025,5,0,0,98,8.91025,4.613,0,46,11.4313,2.62468,128,91,91,1.73829e-14,5.21486e-14
1,1,8.66025,5,0,0,97,8.91025,5.37926,0,47,9.49588,5.86124,160,65,65,2.06995e-13,6.20984e-13
1,1,8.66025,5,0,0,96,8.91025,4.62074,0,48,9.84853,4.03627,160,105,105,1.44717e-13,4.3415e-13
1,1,8.66025,5,0,0,95,8.91025,5.37152,0,49,11.0944,4.65324,148,53,53,5.09653e-14,1.52896e-13
1,1,8.66025,5,0,0,94,8.91025,4.62848,0,50,11.1617,2.33348,128,55,55,1.73017e-14,5.19052e-14
1,1,8.66025,5,0,0,93,8.91025,5.36378,0,51,11.2684,8.65606,115,49,49,1.01807e-14,3.05421e-14
1,1,8.66025,5,0,0,92,8.91025,4.63622,0,52,11.7583,6.01159,135,117,117,2.3691e-14,7.1073e-14
1,1,8.66025,5,0,0,91,8.91025,5.35604,0,53,9.9815,6.02282,159,155,155,1.23324e-13,3.69971e-13
1,1,8.66025,5,0,0,90,8.91025,4.64396,0,54,12.5745,2.57666,113,25,25,9.59045e-15,2.87714e-14
1,1,8.66025,5,0,0,89,8.91025,5.3483,0,55,11.1828,2.86588,134,98,98,2.28088e-14,6.84263e-14
1,1,8.66025,5,0,0,88,8.91025,4.6517,0,56,10.0421,4.19083,160,122,122,1.33492e-13,4.00476e-13
1,1,8.66025,5,0,0,87,8.91025,5.34056,0,57,13.3102,4.99085,112,11,11,9.36487e-15,2.80946e-14
1,1,8.66025,5,0,0,86,8.91025,4.65944,0,58,10.1642,5.63925,159,96,96,1.28595e-13,3.85784e-13
1,1,8.66025,5,0,0,85,8.91025,5.33282,0,59,9.56787,4.215,160,51,51,2.06995e-13,6.20984e-13
